timesteps,trial
14,0 
21,1 
43,2 
15,3 
17,4 
10,5 
26,6 
15,7 
28,8 
14,9 
16,10 
15,11 
31,12 
9,13 
14,14 
19,15 
40,16 
9,17 
13,18 
9,19 
23,20 
19,21 
17,22 
43,23 
20,24 
26,25 
28,26 
18,27 
43,28 
12,29 
18,30 
13,31 
74,32 
21,33 
67,34 
10,35 
21,36 
27,37 
10,38 
15,39 
25,40 
89,41 
9,42 
9,43 
93,44 
13,45 
41,46 
43,47 
14,48 
61,49 
33,50 
9,51 
12,52 
47,53 
12,54 
44,55 
57,56 
40,57 
12,58 
15,59 
30,60 
14,61 
16,62 
17,63 
126,64 
13,65 
14,66 
11,67 
10,68 
32,69 
51,70 
37,71 
17,72 
15,73 
44,74 
11,75 
41,76 
25,77 
10,78 
12,79 
12,80 
43,81 
14,82 
10,83 
12,84 
14,85 
9,86 
16,87 
11,88 
51,89 
85,90 
22,91 
43,92 
77,93 
76,94 
85,95 
77,96 
29,97 
46,98 
146,99 
32,100 
31,101 
29,102 
43,103 
88,104 
33,105 
43,106 
12,107 
67,108 
28,109 
76,110 
26,111 
25,112 
35,113 
37,114 
41,115 
26,116 
9,117 
12,118 
12,119 
10,120 
13,121 
9,122 
12,123 
11,124 
49,125 
22,126 
13,127 
12,128 
10,129 
11,130 
8,131 
12,132 
11,133 
12,134 
12,135 
18,136 
13,137 
10,138 
10,139 
10,140 
10,141 
13,142 
27,143 
9,144 
10,145 
11,146 
14,147 
9,148 
10,149 
27,150 
31,151 
49,152 
35,153 
35,154 
28,155 
49,156 
40,157 
34,158 
35,159 
16,160 
19,161 
46,162 
43,163 
50,164 
44,165 
59,166 
61,167 
44,168 
75,169 
71,170 
69,171 
98,172 
56,173 
112,174 
26,175 
39,176 
36,177 
37,178 
65,179 
83,180 
55,181 
68,182 
50,183 
37,184 
44,185 
72,186 
102,187 
49,188 
69,189 
67,190 
56,191 
63,192 
42,193 
74,194 
75,195 
78,196 
45,197 
66,198 
66,199 
104,200 
62,201 
48,202 
57,203 
59,204 
52,205 
69,206 
77,207 
45,208 
48,209 
49,210 
70,211 
104,212 
29,213 
52,214 
88,215 
40,216 
63,217 
33,218 
53,219 
46,220 
57,221 
116,222 
41,223 
40,224 
37,225 
42,226 
43,227 
76,228 
43,229 
113,230 
57,231 
40,232 
90,233 
51,234 
40,235 
40,236 
39,237 
53,238 
117,239 
42,240 
59,241 
68,242 
74,243 
124,244 
60,245 
66,246 
65,247 
65,248 
95,249 
62,250 
109,251 
114,252 
89,253 
126,254 
43,255 
41,256 
41,257 
41,258 
50,259 
30,260 
55,261 
38,262 
40,263 
40,264 
31,265 
35,266 
37,267 
41,268 
46,269 
41,270 
68,271 
45,272 
104,273 
40,274 
39,275 
50,276 
53,277 
103,278 
73,279 
73,280 
38,281 
60,282 
62,283 
52,284 
101,285 
80,286 
60,287 
56,288 
61,289 
50,290 
42,291 
25,292 
32,293 
26,294 
30,295 
36,296 
10,297 
26,298 
19,299 
